steps,click_accuracy
2000,0.02642981
4000,0.1205724
6000,0.4416537
8000,0.6972025
10000,0.7397646
12000,0.8634969
14000,0.9550226
16000,0.9808635
18000,0.9807147
20000,0.9477538
22000,0.8494533
24000,0.8766667
26000,0.9335527
28000,0.9466584
30000,0.9806008
32000,0.9817387
34000,0.9723849
36000,0.9778144
38000,0.9805514
40000,0.9753602
42000,0.9292457
44000,0.9362031
46000,0.9249474
48000,0.9248165
50000,0.8913372
52000,0.9331793
54000,0.9535825
56000,0.9532455
58000,0.9752038
60000,0.9872534
62000,0.9620141
64000,0.9639179
66000,0.9143289
68000,0.927168
70000,0.9430113
72000,0.973273
74000,0.9771121
76000,0.9689278
78000,0.9525964
80000,0.9643424
82000,0.9681551
84000,0.9585717
86000,0.9713205
88000,0.9965789
90000,0.9925277
92000,0.9823491
94000,0.9761903
96000,0.9675338
98000,0.9844687
100000,0.9703584
102000,0.9804847
104000,0.9693523
106000,0.9257339
108000,0.9334362
110000,0.9692522
112000,0.9322913
114000,0.9217497
116000,0.9347042
118000,0.9679093
120000,0.9448054
122000,0.9784215
124000,0.9932315
126000,0.9925771
128000,0.9896827
130000,0.9740802
132000,0.9851566
134000,0.9911661
136000,0.9830933
138000,0.9581202
140000,0.95729
142000,0.9683523
144000,0.9851412
146000,0.9917855
148000,0.9765379
150000,0.9255631
152000,0.9488301
154000,0.9689853
156000,0.9639925
158000,0.9726346
160000,0.9623635
162000,0.9668267
164000,0.980472
166000,0.9816351
168000,0.985306
170000,0.9905593
172000,0.9864851
174000,0.9918183
176000,0.9723332
178000,0.9800315
180000,0.9918088
182000,0.9917767
184000,0.9871337
186000,0.9769866
188000,0.9616725
190000,0.9389312
192000,0.9643514
194000,0.9864666
196000,0.983129
198000,0.9632169
200000,0.9756526
202000,0.9766687
204000,0.9707019
206000,0.9784964
208000,0.9654078
210000,0.958165
212000,0.9594972
214000,0.9747417
216000,0.987149
218000,0.9864362
220000,0.97851
222000,0.9590026
224000,0.9540863
226000,0.9432629
228000,0.9673231
230000,0.9708813
232000,0.972663
234000,0.9759234
236000,0.9863776
238000,0.9878521
240000,0.9830973
242000,0.9638178
244000,0.9731582
246000,0.9402477
248000,0.9456657
250000,0.9548377
252000,0.9544683
254000,0.9591013
256000,0.9672601
258000,0.9790972
260000,0.9878429
262000,0.9885781
264000,0.9911482
266000,0.9837357
268000,0.9707502
270000,0.9798419
272000,0.9850509
274000,0.9863985
276000,0.9852775
278000,0.9871318
280000,0.9898266
282000,0.9919391
284000,0.9712501
286000,0.9764497
288000,0.9802419
290000,0.9785832
292000,0.9823873
294000,0.9835912
296000,0.9818789
298000,0.9817505
300000,0.9905754
