steps,click_accuracy
2000,0.02672241
4000,0.09898693
6000,0.332174
8000,0.603424
10000,0.8142691
12000,0.8732219
14000,0.8686677
16000,0.9054831
18000,0.9377252
20000,0.9623656
22000,0.9473342
24000,0.9451317
26000,0.9680556
28000,0.991874
30000,0.9925694
32000,0.9864789
34000,0.9859393
36000,0.9958589
38000,0.9918175
40000,0.983102
42000,0.9838833
44000,0.9796698
46000,0.94578
48000,0.9361506
50000,0.9370468
52000,0.9424059
54000,0.961651
56000,0.9724014
58000,0.9774213
60000,0.9611402
62000,0.9585748
64000,0.8992186
66000,0.9613653
68000,0.965656
70000,0.9746115
72000,0.9713399
74000,0.9714369
76000,0.9628912
78000,0.9830502
80000,0.9850905
82000,0.9905709
84000,0.9849998
86000,0.9743348
88000,0.9738041
90000,0.9713181
92000,0.9706823
94000,0.9497559
96000,0.958177
98000,0.9514132
100000,0.9380044
102000,0.9458937
104000,0.9556017
106000,0.9772316
108000,0.9924943
110000,0.9918342
112000,0.9952399
114000,0.9951789
116000,0.9993225
118000,0.9979165
120000,1
122000,0.9993055
124000,0.9993386
126000,1
128000,0.9993142
130000,1
132000,0.9993141
134000,1
136000,1
138000,1
140000,0.9993386
142000,0.9993142
144000,1
146000,0.9986613
148000,1
150000,1
152000,1
154000,1
156000,0.9993055
158000,1
160000,0.9986281
162000,1
164000,1
166000,1
168000,1
170000,1
172000,1
174000,1
176000,0.9992877
178000,1
180000,0.9993225
182000,0.9992968
184000,0.9993225
186000,1
188000,1
190000,0.9986197
192000,1
194000,1
196000,0.9993225
198000,0.9993055
200000,1
202000,1
204000,0.9986197
206000,1
208000,1
210000,1
212000,1
214000,1
216000,1
218000,1
220000,1
222000,1
224000,1
226000,1
228000,1
230000,1
232000,1
234000,0.9993141
236000,1
238000,1
240000,1
242000,1
244000,0.9993141
246000,1
248000,1
250000,0.9993055
252000,1
254000,1
256000,1
258000,1
260000,1
262000,1
264000,1
266000,1
268000,1
270000,1
272000,1
274000,1
276000,1
278000,1
280000,0.9993306
282000,1
284000,1
286000,1
288000,1
290000,1
292000,1
294000,1
296000,1
298000,1
300000,1
