steps,click_accuracy
2000,0.03813565
4000,0.06087001
6000,0.1447569
8000,0.3150305
10000,0.5371028
12000,0.5382501
14000,0.6826612
16000,0.7203511
18000,0.8133752
20000,0.7457312
22000,0.8029029
24000,0.7966836
26000,0.8467391
28000,0.8456226
30000,0.8471721
32000,0.8883541
34000,0.87125
36000,0.916393
38000,0.8144897
40000,0.9174936
42000,0.8709886
44000,0.9353998
46000,0.887578
48000,0.9478658
50000,0.973722
52000,0.9716851
54000,0.992366
56000,0.9852611
58000,0.9847645
60000,0.9833037
62000,0.9960525
64000,0.9963493
66000,0.9983531
68000,0.999183
70000,0.9993386
72000,1
74000,0.9906514
76000,1
78000,0.9985899
80000,0.9986032
82000,0.9966124
84000,0.9986612
86000,0.998557
88000,0.998556
90000,0.9974525
92000,0.9993225
94000,0.9965482
96000,0.9981685
98000,0.9971312
100000,0.9943484
102000,0.9969357
104000,1
106000,0.9967088
108000,0.9968789
110000,0.9977777
112000,0.9979367
114000,0.997811
116000,0.9953807
118000,0.9978775
120000,0.9958299
122000,0.9959433
124000,0.9964972
126000,0.998557
128000,0.9978664
130000,0.9986281
132000,0.9961248
134000,0.9986928
136000,0.997747
138000,0.9986076
140000,0.998557
142000,0.9992593
144000,0.9994212
146000,0.9986398
148000,0.9963229
150000,0.9984398
152000,0.9966499
154000,0.9958664
156000,1
158000,0.9973204
160000,0.9959477
162000,0.9944435
164000,0.9978292
166000,0.9993306
168000,0.9967471
170000,0.9959326
172000,0.9978522
174000,0.998018
176000,0.9972546
178000,0.9962809
180000,0.9979001
182000,0.9972417
184000,0.9953675
186000,0.9965726
188000,0.9961463
190000,0.9971532
192000,0.9964229
194000,0.9979541
196000,0.9973661
198000,0.9977269
200000,0.9980443
202000,0.9963763
204000,0.9972579
206000,0.9971841
208000,0.9987358
210000,0.9971187
212000,0.99431
214000,0.9952098
216000,0.9993386
218000,0.9992968
220000,0.995707
222000,0.9957448
224000,0.9957097
226000,0.9966037
228000,0.9980432
230000,0.9960318
232000,0.9970427
234000,0.9963635
236000,0.9979661
238000,0.9918984
240000,0.9974024
242000,0.9966849
244000,0.9935333
246000,0.9951652
248000,0.9985755
250000,0.9972706
252000,0.9963632
254000,0.9970167
256000,0.9966405
258000,0.995131
260000,0.9986838
262000,0.9987229
264000,0.9966323
266000,0.9961014
268000,0.9970856
270000,0.9965264
272000,0.9934258
274000,0.9980275
276000,0.9967512
278000,0.9966676
280000,0.994591
282000,0.9965527
284000,0.9987314
286000,0.9936453
288000,0.9948085
290000,0.9965335
292000,0.9950538
294000,0.9964278
296000,0.9945056
298000,0.9952317
300000,0.9951281
