steps,click_accuracy
2000,0.03773656
4000,0.05974233
6000,0.1192421
8000,0.2405026
10000,0.4335615
12000,0.5445658
14000,0.619114
16000,0.7181315
18000,0.7076541
20000,0.7513244
22000,0.717779
24000,0.8356624
26000,0.8362621
28000,0.8887513
30000,0.854759
32000,0.9134042
34000,0.9172875
36000,0.8851832
38000,0.8886039
40000,0.8192022
42000,0.9155576
44000,0.8829535
46000,0.9604991
48000,0.8912738
50000,0.9353374
52000,0.9439328
54000,0.9358601
56000,0.9549906
58000,0.9686644
60000,0.9150092
62000,0.9714982
64000,0.9749663
66000,0.9749421
68000,0.9924255
70000,0.9842347
72000,0.9963048
74000,0.9864708
76000,0.9891598
78000,0.9937773
80000,1
82000,0.9888656
84000,0.9992877
86000,0.9992492
88000,0.9976842
90000,0.9967755
92000,0.9985633
94000,0.9977556
96000,0.998708
98000,0.9970733
100000,1
102000,0.9985841
104000,0.9993541
106000,0.9992967
108000,0.9985754
110000,0.9993055
112000,0.9985085
114000,0.996434
116000,1
118000,0.9971826
120000,0.9986839
122000,0.9986109
124000,0.9964901
126000,0.9992063
128000,0.9993615
130000,0.9985568
132000,0.9970555
134000,0.9985669
136000,0.9956306
138000,1
140000,0.9979897
142000,0.9979066
144000,0.9972861
146000,0.9955751
148000,0.9980064
150000,0.9983661
152000,0.998547
154000,0.9977238
156000,1
158000,0.9953269
160000,0.9987229
162000,1
164000,0.9958665
166000,0.9985979
168000,1
170000,0.9979234
172000,0.9980838
174000,0.9982078
176000,1
178000,0.9978935
180000,0.9978311
182000,0.9986655
184000,1
186000,0.9986527
188000,0.9965153
190000,0.998642
192000,0.9985979
194000,0.997474
196000,1
198000,0.9986354
200000,0.9973679
202000,0.9977469
204000,0.9985185
206000,0.996461
208000,0.9984776
210000,0.9993141
212000,0.9964882
214000,0.9965083
216000,0.9970939
218000,0.9971038
220000,0.9978733
222000,0.9978392
224000,0.9975274
226000,0.9993386
228000,0.9972936
230000,0.9972497
232000,0.997194
234000,0.998557
236000,0.9971774
238000,0.9973686
240000,0.9986928
242000,0.9992492
244000,0.9944679
246000,0.998708
248000,0.9952491
250000,0.9987082
252000,0.9962936
254000,0.9971511
256000,0.9980154
258000,0.9960101
260000,0.9951535
262000,0.9936927
264000,0.9971959
266000,0.9949642
268000,0.9919687
270000,0.9973184
272000,0.9965717
274000,0.996439
276000,0.9950769
278000,0.9985481
280000,0.9957521
282000,0.9978921
284000,0.9955426
286000,0.9951444
288000,0.9943203
290000,0.9947212
292000,0.9979589
294000,0.9954609
296000,0.995333
298000,0.9965755
300000,0.9958706
