steps,click_accuracy
2000,0.04077905
4000,0.0709583
6000,0.1740206
8000,0.3824577
10000,0.6091349
12000,0.7135329
14000,0.8152671
16000,0.8871285
18000,0.9354129
20000,0.9043065
22000,0.8654977
24000,0.9522524
26000,0.9471806
28000,0.9790865
30000,0.979377
32000,0.9831295
34000,0.9878404
36000,0.9961599
38000,0.9932588
40000,0.9927808
42000,0.9919972
44000,0.994513
46000,0.9904799
48000,0.9963794
50000,0.9942386
52000,0.9925961
54000,0.9885105
56000,0.9914603
58000,0.9943082
60000,0.9926209
62000,0.9949294
64000,0.9966192
66000,0.9917552
68000,0.991142
70000,0.997357
72000,0.995723
74000,0.9943309
76000,0.9880232
78000,0.994092
80000,0.9931427
82000,0.979334
84000,0.9937721
86000,0.9833626
88000,0.9952609
90000,0.9945692
92000,0.9965036
94000,0.9943029
96000,0.9925573
98000,0.9953179
100000,0.9938126
102000,0.9953382
104000,0.9915714
106000,0.9890931
108000,0.9960006
110000,0.995249
112000,0.9961124
114000,0.9945063
116000,0.9911411
118000,0.9878936
120000,0.9897571
122000,0.9980806
124000,0.9928912
126000,0.9953334
128000,0.9930094
130000,0.9961139
132000,0.9940174
134000,0.9929392
136000,0.9944488
138000,0.9946229
140000,0.9918242
142000,0.9868639
144000,0.9927474
146000,0.9886668
148000,0.9930456
150000,0.9939353
152000,0.9903703
154000,0.9932222
156000,0.9900568
158000,0.9936715
160000,0.9954171
162000,0.9946401
164000,0.9938177
166000,0.9945829
168000,0.9901483
170000,0.9922577
172000,0.9864227
174000,0.9866099
176000,0.9919007
178000,0.9949263
180000,0.9938968
182000,0.992839
184000,0.9923272
186000,0.9929296
188000,0.9957793
190000,0.9934275
192000,0.9938349
194000,0.9920847
196000,0.9966361
198000,0.9891085
200000,0.9928763
202000,0.993807
204000,0.9913175
206000,0.9928914
208000,0.9945443
210000,0.9950288
212000,0.9935207
214000,0.9946215
216000,0.9938357
218000,0.9904134
220000,0.9915172
222000,0.9882909
224000,0.9900695
226000,0.9905891
228000,0.9960598
230000,0.9870843
232000,0.9917642
234000,0.992066
236000,0.9953638
238000,0.9910213
240000,0.9942432
242000,0.992109
244000,0.992699
246000,0.9919432
248000,0.9890072
250000,0.9931809
252000,0.9925315
254000,0.9958243
256000,0.9912302
258000,0.9905085
260000,0.9880788
262000,0.9932951
264000,0.9941928
266000,0.9911622
268000,0.9926036
270000,0.990116
272000,0.9921141
274000,0.9958594
276000,0.9912604
278000,0.9930384
280000,0.9917912
282000,0.9931481
284000,0.9926498
286000,0.9957296
288000,0.9906576
290000,0.9962078
292000,0.9950823
294000,0.9884156
296000,0.993827
298000,0.9910747
300000,0.9892148
