steps,click_accuracy
2000,0.03946809
4000,0.05920295
6000,0.05949112
8000,0.1472115
10000,0.2564943
12000,0.6266717
14000,0.7005962
16000,0.7426956
18000,0.7726519
20000,0.8250546
22000,0.8987359
24000,0.9188807
26000,0.9244301
28000,0.9506633
30000,0.9572074
32000,0.9634672
34000,0.966233
36000,0.9584281
38000,0.9495995
40000,0.9814563
42000,0.9711847
44000,0.977815
46000,0.9872271
48000,0.9932954
50000,0.9819663
52000,0.9707674
54000,0.9902467
56000,0.9872578
58000,0.975051
60000,0.9953948
62000,0.9934154
64000,0.9838755
66000,0.989417
68000,0.985765
70000,0.9853655
72000,0.9883338
74000,0.9611687
76000,0.9929517
78000,0.9829967
80000,0.9846392
82000,0.9847462
84000,0.9943581
86000,0.9805405
88000,0.9682434
90000,0.9914126
92000,0.9971159
94000,0.9944054
96000,0.9942768
98000,0.9957404
100000,0.9882312
102000,0.9945011
104000,0.9963484
106000,0.9977492
108000,0.9933692
110000,0.9964068
112000,0.9970618
114000,0.9953196
116000,0.9946255
118000,0.9966344
120000,0.9930453
122000,0.9905396
124000,0.9934342
126000,0.9867308
128000,0.9900111
130000,0.9924119
132000,0.996386
134000,0.9891676
136000,0.9901831
138000,0.9986681
140000,0.9959015
142000,0.9920198
144000,0.9933937
146000,0.992988
148000,0.9930689
150000,0.9903732
152000,0.9855569
154000,0.9931108
156000,0.9898434
158000,0.9888645
160000,0.9919901
162000,0.9958732
164000,0.992008
166000,0.9898383
168000,0.9935222
170000,0.9943421
172000,0.9944101
174000,0.9894938
176000,0.9929125
178000,0.9922405
180000,0.9820638
182000,0.9925124
184000,0.9958419
186000,0.9938912
188000,0.9909818
190000,0.9931551
192000,0.9907706
194000,0.9914244
196000,0.9922293
198000,0.9866613
200000,0.991648
202000,0.9931257
204000,0.9951871
206000,0.9943609
208000,0.992451
210000,0.9908417
212000,0.9871023
214000,0.9899348
216000,0.9939396
218000,0.9973665
220000,0.9855476
222000,0.9971874
224000,0.990217
226000,0.997998
228000,0.9927184
230000,0.9916002
232000,0.9854291
234000,0.9898088
236000,0.989498
238000,0.989085
240000,0.9891493
242000,0.9921429
244000,0.9900724
246000,0.9951741
248000,0.9908679
250000,0.9876635
252000,0.9959495
254000,0.9937241
256000,0.9949912
258000,0.9935219
260000,0.9905106
262000,0.9948109
264000,0.9924495
266000,0.9912545
268000,0.9928535
270000,0.9892032
272000,0.9933354
274000,0.9902804
276000,0.9947055
278000,0.9922345
280000,0.9943843
282000,0.9904251
284000,0.9908202
286000,0.9906657
288000,0.9938394
290000,0.9911833
292000,0.9917158
294000,0.9918958
296000,0.9917931
298000,0.9877642
300000,0.9917704
