steps,click_accuracy
2000,0.01088467
4000,0.02184159
6000,0.05474263
8000,0.1704611
10000,0.2184235
12000,0.3115186
14000,0.1670264
16000,0.2596934
18000,0.301433
20000,0.3123016
22000,0.2536436
24000,0.3714285
26000,0.4688713
28000,0.3526014
30000,0.3814815
32000,0.395172
34000,0.19308
36000,0.282708
38000,0.3255953
40000,0.151461
42000,0.2340914
44000,0.245765
46000,0.2692286
48000,0.497045
50000,0.7417796
52000,0.9062003
54000,0.8738657
56000,0.8306757
58000,0.840691
60000,0.8392625
62000,0.8281921
64000,0.7582864
66000,0.8487369
68000,0.8839155
70000,0.9200481
72000,0.9184129
74000,0.9400972
76000,0.8796154
78000,0.878864
80000,0.9654008
82000,0.9655004
84000,0.9837754
86000,0.9751664
88000,0.9735096
90000,0.9445066
92000,0.9047549
94000,0.9428445
96000,0.956504
98000,0.939996
100000,0.971985
102000,0.9712514
104000,0.9810485
106000,0.9792175
108000,0.9573032
110000,0.9163655
112000,0.9267797
114000,0.9656007
116000,0.967281
118000,0.9675159
120000,0.9785024
122000,0.9897266
124000,0.9904701
126000,0.9897851
128000,0.9740385
130000,0.9536358
132000,0.9745035
134000,0.9837125
136000,0.9857766
138000,0.9884841
140000,0.997924
142000,0.9993225
144000,0.9959171
146000,0.9852365
148000,0.9903753
150000,0.9945203
152000,0.99585
154000,0.9931993
156000,0.9845088
158000,0.9636855
160000,0.9605851
162000,0.9405661
164000,0.9358602
166000,0.9652348
168000,0.959873
170000,0.9602507
172000,0.9798701
174000,0.9890912
176000,0.9892285
178000,0.9859214
180000,0.9844445
182000,0.9871754
184000,0.9865515
186000,0.9871337
188000,0.9939077
190000,0.9931477
192000,0.9986193
194000,0.9939311
196000,1
198000,0.9993055
200000,0.998611
202000,0.9910996
204000,0.9797922
206000,0.9878139
208000,0.9959098
210000,0.993801
212000,0.9952485
214000,0.9952071
216000,0.9965705
218000,0.9965871
220000,0.9979422
222000,0.997925
224000,0.9972646
226000,0.9965867
228000,0.9993225
230000,0.9958829
232000,0.9979508
234000,0.9965873
236000,1
238000,1
240000,1
242000,0.9993225
244000,0.9993141
246000,0.9979422
248000,0.9993055
250000,1
252000,0.9979503
254000,0.9986197
256000,0.9986531
258000,0.9979506
260000,0.9993055
262000,0.9993142
264000,0.9993055
266000,0.9993225
268000,1
270000,0.9979334
272000,1
274000,0.9973138
276000,0.9986197
278000,0.9993141
280000,0.9986448
282000,1
284000,0.997298
286000,0.9993225
288000,0.9986283
290000,0.9986449
292000,1
294000,0.9986112
296000,0.9979339
298000,0.9993386
300000,0.9993055
