steps,click_accuracy
2000,0.01065493
4000,0.01671027
6000,0.03575643
8000,0.06649938
10000,0.09873238
12000,0.1496493
14000,0.1134119
16000,0.1918256
18000,0.224716
20000,0.2233466
22000,0.2516835
24000,0.2606481
26000,0.2751984
28000,0.240691
30000,0.3109848
32000,0.2063973
34000,0.3989899
36000,0.3583995
38000,0.6011659
40000,0.6674016
42000,0.8196329
44000,0.8354952
46000,0.8096089
48000,0.8714807
50000,0.8242791
52000,0.9281142
54000,0.9512403
56000,0.9251775
58000,0.8884456
60000,0.8462825
62000,0.8537872
64000,0.9155163
66000,0.9363496
68000,0.9120108
70000,0.9423964
72000,0.9717582
74000,0.9732994
76000,0.9671544
78000,0.9780347
80000,0.982287
82000,0.9772765
84000,0.9769093
86000,0.9793808
88000,0.9798471
90000,0.9810735
92000,0.9506083
94000,0.9164078
96000,0.9320933
98000,0.9702469
100000,0.971385
102000,0.954122
104000,0.9434761
106000,0.9589037
108000,0.9838263
110000,0.9958657
112000,0.987717
114000,0.9885271
116000,0.9815689
118000,0.9806626
120000,0.9771388
122000,0.9478142
124000,0.913764
126000,0.9036241
128000,0.9224403
130000,0.9406726
132000,0.9439853
134000,0.9534734
136000,0.9839742
138000,0.9837279
140000,0.9844043
142000,0.9779286
144000,0.9709428
146000,0.981834
148000,0.989826
150000,0.9979339
152000,0.9932042
154000,0.9911571
156000,0.9917848
158000,0.9818738
160000,0.9844866
162000,0.985751
164000,0.9850824
166000,0.9952317
168000,0.9945459
170000,0.9972389
172000,0.9972979
174000,0.9965872
176000,0.9986282
178000,0.9972479
180000,1
182000,0.9986023
184000,0.9993055
186000,0.9972899
188000,0.9986448
190000,0.9986197
192000,0.9972811
194000,0.9958588
196000,0.9966112
198000,0.9979079
200000,0.9993055
202000,0.9986365
204000,0.9959005
206000,0.9986109
208000,0.9993141
210000,0.9911495
212000,0.9937925
214000,0.9819005
216000,0.978647
218000,0.9777082
220000,0.9832833
222000,0.9864465
224000,0.9838844
226000,0.9891822
228000,0.9938666
230000,0.9945465
232000,0.9979424
234000,0.9993055
236000,0.9986367
238000,0.9986447
240000,0.9979673
242000,0.9952071
244000,0.9931908
246000,0.9938002
248000,0.9965707
250000,0.993851
252000,0.9979506
254000,0.9972564
256000,0.9979076
258000,0.997925
260000,0.995876
262000,0.9993141
264000,0.9965613
266000,0.9986281
268000,0.9986367
270000,0.9979591
272000,0.9986362
274000,0.9993225
276000,0.998628
278000,0.994579
280000,0.9945045
282000,0.9972391
284000,0.9951902
286000,0.9979338
288000,1
290000,1
292000,0.9965537
294000,0.9993142
296000,0.9993225
298000,1
300000,0.9986449
