steps,click_accuracy
2000,0.01669106
4000,0.03059186
6000,0.04190721
8000,0.04930833
10000,0.05287539
12000,0.05436606
14000,0.05512408
16000,0.05545093
18000,0.05661715
20000,0.05705603
22000,0.05781072
24000,0.05961616
26000,0.05953044
28000,0.06167828
30000,0.06198087
32000,0.063518
34000,0.06466831
36000,0.06564742
38000,0.06833464
40000,0.06899969
42000,0.07121512
44000,0.07390849
46000,0.07442096
48000,0.07761805
50000,0.07921482
52000,0.08228862
54000,0.08465604
56000,0.08755156
58000,0.0915329
60000,0.09467468
62000,0.09919777
64000,0.1015966
66000,0.1055779
68000,0.1106367
70000,0.1156166
72000,0.1239798
74000,0.1290121
76000,0.1340119
78000,0.1423237
80000,0.1534071
82000,0.1618946
84000,0.170688
86000,0.1824568
88000,0.1936185
90000,0.2049678
92000,0.2197345
94000,0.2377442
96000,0.2527906
98000,0.2670298
100000,0.2808059
102000,0.2966028
104000,0.3184968
106000,0.339398
108000,0.3647763
110000,0.3824193
112000,0.4178372
114000,0.4290197
116000,0.4503316
118000,0.4686431
120000,0.4905635
122000,0.5104625
124000,0.5454463
126000,0.5633104
128000,0.5635522
130000,0.6050331
132000,0.625406
134000,0.6319812
136000,0.6312182
138000,0.6374091
140000,0.5970494
142000,0.6401361
144000,0.7190351
146000,0.7206799
148000,0.7154785
150000,0.7396257
152000,0.7474341
154000,0.7587585
156000,0.7661139
158000,0.7463963
160000,0.7312623
162000,0.8044059
164000,0.7900105
166000,0.7770805
168000,0.8148917
170000,0.8423253
172000,0.8349954
174000,0.8319479
176000,0.8285165
178000,0.7832797
180000,0.8204184
182000,0.8142247
184000,0.7886679
186000,0.8269158
188000,0.833102
190000,0.866123
192000,0.853905
194000,0.8701094
196000,0.8903374
198000,0.8938429
200000,0.8816283
202000,0.8693316
204000,0.875586
206000,0.891584
208000,0.8925491
210000,0.8946919
212000,0.8778315
214000,0.8782218
216000,0.8504681
218000,0.8808252
220000,0.8873146
222000,0.8410276
224000,0.8779048
226000,0.8936654
228000,0.9074128
230000,0.8929093
232000,0.907567
234000,0.9171862
236000,0.8774272
238000,0.8926257
240000,0.9031379
242000,0.8859358
244000,0.913043
246000,0.9284575
248000,0.9021198
250000,0.9290746
252000,0.9191784
254000,0.8980197
256000,0.9068524
258000,0.9222313
260000,0.9166257
262000,0.9213945
264000,0.9209639
266000,0.9323391
268000,0.9449208
270000,0.9200354
272000,0.9020433
274000,0.9134723
276000,0.862825
278000,0.8794765
280000,0.9102321
282000,0.9200318
284000,0.9206728
286000,0.926587
288000,0.9478484
290000,0.9405519
292000,0.9244536
294000,0.9325739
296000,0.9397389
298000,0.9430685
300000,0.9494696
