steps,click_accuracy
2000,0.01674061
4000,0.03324067
6000,0.04559422
8000,0.04860388
10000,0.05336146
12000,0.05261693
14000,0.05447261
16000,0.05553148
18000,0.0556985
20000,0.05656688
22000,0.05773365
24000,0.05762805
26000,0.05919035
28000,0.06054997
30000,0.06146539
32000,0.06257061
34000,0.06360039
36000,0.06518307
38000,0.06655491
40000,0.06834792
42000,0.07004395
44000,0.07101419
46000,0.07265595
48000,0.07552885
50000,0.07885034
52000,0.08055975
54000,0.08352267
56000,0.08494124
58000,0.08812518
60000,0.09206532
62000,0.09545938
64000,0.09808096
66000,0.1037335
68000,0.1060573
70000,0.1103991
72000,0.1161649
74000,0.1237153
76000,0.1264572
78000,0.1368368
80000,0.1430367
82000,0.1532471
84000,0.1606092
86000,0.1684178
88000,0.183524
90000,0.1880767
92000,0.2047957
94000,0.2167422
96000,0.2327709
98000,0.245726
100000,0.2635884
102000,0.2805725
104000,0.2929156
106000,0.3077231
108000,0.3445819
110000,0.3662167
112000,0.3863255
114000,0.4045937
116000,0.4049489
118000,0.4416305
120000,0.4647716
122000,0.4940504
124000,0.5060809
126000,0.5065203
128000,0.5279092
130000,0.5696343
132000,0.5707453
134000,0.5984495
136000,0.6074937
138000,0.6294688
140000,0.6671333
142000,0.6334686
144000,0.6678036
146000,0.7128321
148000,0.7169479
150000,0.7492446
152000,0.7369319
154000,0.7616253
156000,0.7499197
158000,0.7382544
160000,0.769989
162000,0.7857139
164000,0.8139248
166000,0.7772924
168000,0.7998021
170000,0.8165289
172000,0.8468645
174000,0.8191007
176000,0.8425025
178000,0.7966621
180000,0.8242567
182000,0.8339692
184000,0.7796
186000,0.8251367
188000,0.8588745
190000,0.8423836
192000,0.8693921
194000,0.8804214
196000,0.8883788
198000,0.8958695
200000,0.8777069
202000,0.8384079
204000,0.8652111
206000,0.8995383
208000,0.9013318
210000,0.8815566
212000,0.8424109
214000,0.8768036
216000,0.8265511
218000,0.902778
220000,0.9107172
222000,0.8843753
224000,0.9043686
226000,0.9290116
228000,0.9170846
230000,0.9205649
232000,0.9033971
234000,0.9070162
236000,0.9082351
238000,0.879978
240000,0.8759251
242000,0.8731391
244000,0.8694472
246000,0.8793332
248000,0.8915435
250000,0.8982354
252000,0.9116031
254000,0.9227791
256000,0.9245656
258000,0.9167172
260000,0.9113038
262000,0.8731008
264000,0.9019578
266000,0.9218494
268000,0.927833
270000,0.9367678
272000,0.9527998
274000,0.9564939
276000,0.9394215
278000,0.9430255
280000,0.9547979
282000,0.9483817
284000,0.9429063
286000,0.9323529
288000,0.931627
290000,0.9418286
292000,0.946095
294000,0.9490903
296000,0.9440358
298000,0.9519218
300000,0.9485317
