steps,click_accuracy
2000,0.01207923
4000,0.0233476
6000,0.02711355
8000,0.04837785
10000,0.1130196
12000,0.2404905
14000,0.4731905
16000,0.6537014
18000,0.6863568
20000,0.8024945
22000,0.7247949
24000,0.6883855
26000,0.8202954
28000,0.7973496
30000,0.7627321
32000,0.835734
34000,0.872054
36000,0.9128182
38000,0.7926178
40000,0.8326008
42000,0.9156141
44000,0.9219796
46000,0.9435651
48000,0.9468595
50000,0.9738568
52000,0.9726767
54000,0.9791106
56000,0.970947
58000,0.9846092
60000,0.9938011
62000,0.9911228
64000,0.9959668
66000,0.9966362
68000,0.9939349
70000,0.9891897
72000,0.9679449
74000,0.9720128
76000,0.9456127
78000,0.9932719
80000,0.9945042
82000,0.9878286
84000,0.9891567
86000,0.9871147
88000,0.9952058
90000,0.9966123
92000,0.9938593
94000,0.9951901
96000,0.9918758
98000,0.9932802
100000,0.9782832
102000,0.9898589
104000,0.9765362
106000,0.9230243
108000,0.9012037
110000,0.8955896
112000,0.8565374
114000,0.9239377
116000,0.9055162
118000,0.9347199
120000,0.9367764
122000,0.9486039
124000,0.9751918
126000,0.9806701
128000,0.9878346
130000,0.9898025
132000,0.9952064
134000,0.9924685
136000,0.9884465
138000,0.9911243
140000,0.9811852
142000,0.9849691
144000,0.9911491
146000,0.9904876
148000,0.9899313
150000,0.9884641
152000,0.9890906
154000,0.9931234
156000,0.9945128
158000,0.9952063
160000,0.9945206
162000,0.9964913
164000,0.9959403
166000,0.9951968
168000,0.996587
170000,0.9965786
172000,0.991175
174000,0.9824697
176000,0.9959417
178000,0.991883
180000,0.9925127
182000,0.9952393
184000,0.9993141
186000,0.9951732
188000,0.997256
190000,0.9979339
192000,0.9965873
194000,0.9979248
196000,0.9993055
198000,0.9979252
200000,0.997239
202000,0.9966193
204000,0.9965789
206000,0.9952065
208000,0.9959748
210000,0.9986367
212000,0.9952931
214000,0.9925039
216000,0.983793
218000,0.992463
220000,0.9959428
222000,0.9958665
224000,0.9938089
226000,0.9939172
228000,0.9951899
230000,0.9972649
232000,0.9965849
234000,0.997314
236000,0.9993141
238000,0.9993306
240000,0.9986367
242000,0.9979168
244000,1
246000,0.9979674
248000,0.9993225
250000,0.9979499
252000,0.9979422
254000,0.9979591
256000,1
258000,0.9965955
260000,0.997281
262000,0.9979506
264000,0.9986281
266000,0.9993225
268000,1
270000,0.9972732
272000,0.9979424
274000,0.9979424
276000,0.997967
278000,0.9979422
280000,0.9959264
282000,0.9945208
284000,0.9945123
286000,0.9924878
288000,0.9958498
290000,0.9958761
292000,1
294000,0.9965873
296000,0.9979507
298000,0.9979165
300000,0.9959496
