steps,click_accuracy
2000,0.01054936
4000,0.02886171
6000,0.1238901
8000,0.3341786
10000,0.453982
12000,0.5179049
14000,0.5971397
16000,0.763683
18000,0.7937914
20000,0.857424
22000,0.9116954
24000,0.9352308
26000,0.8885699
28000,0.838411
30000,0.8445782
32000,0.9123908
34000,0.9709187
36000,0.9817433
38000,0.9884841
40000,0.9952398
42000,0.9931943
44000,0.993781
46000,0.9892796
48000,0.9844127
50000,0.9653065
52000,0.9687364
54000,0.9738786
56000,0.9803674
58000,0.9766372
60000,0.9816708
62000,0.9661832
64000,0.9546204
66000,0.9533399
68000,0.9550288
70000,0.9539783
72000,0.8895386
74000,0.8349284
76000,0.8570535
78000,0.8734101
80000,0.8878304
82000,0.9309022
84000,0.9459094
86000,0.9831332
88000,0.9959956
90000,0.9938266
92000,0.9945039
94000,0.9931477
96000,0.9966206
98000,0.9951804
100000,0.9818408
102000,0.9714591
104000,0.9688943
106000,0.9749196
108000,0.9460453
110000,0.9406696
112000,0.967693
114000,0.9760429
116000,0.9891503
118000,0.9931476
120000,0.9925542
122000,0.9952227
124000,0.9959092
126000,0.9939502
128000,0.9959013
130000,0.9910741
132000,0.9932227
134000,0.9925368
136000,0.9904395
138000,0.9919404
140000,0.9843661
142000,0.9864299
144000,0.9844061
146000,0.9852197
148000,0.9919059
150000,0.9851972
152000,0.9892292
154000,0.9884875
156000,0.9866002
158000,0.9741832
160000,0.9864142
162000,0.9760967
164000,0.9787754
166000,0.9837043
168000,0.9912137
170000,0.98105
172000,0.9918259
174000,0.9832106
176000,0.9945683
178000,0.9871166
180000,0.9986449
182000,0.997925
184000,0.9986773
186000,0.9979506
188000,0.9993225
190000,0.9993142
192000,0.9986109
194000,0.9958916
196000,0.9986282
198000,1
200000,0.9986274
202000,0.9986023
204000,1
206000,0.9972562
208000,0.9986532
210000,0.9986112
212000,1
214000,0.9986282
216000,0.9979675
218000,0.9993225
220000,0.9972477
222000,1
224000,0.9993142
226000,0.9986928
228000,0.9972642
230000,0.9986447
232000,0.9979337
234000,0.9993055
236000,0.9932063
238000,0.9885195
240000,0.9798402
242000,0.9797618
244000,0.9851532
246000,0.9918277
248000,0.997248
250000,0.9959012
252000,0.9979503
254000,0.9972644
256000,0.9993225
258000,0.997992
260000,0.9965871
262000,0.9972732
264000,0.9952061
266000,0.9918675
268000,0.9938937
270000,0.9979508
272000,0.9986449
274000,0.9965274
276000,0.9965786
278000,0.9959013
280000,0.9965363
282000,0.9959179
284000,0.9972816
286000,0.9972394
288000,0.9986023
290000,0.9993141
292000,0.996545
294000,0.9966352
296000,0.9972293
298000,0.998611
300000,0.9951898
