steps,click_accuracy
2000,0.01175721
4000,0.02215175
6000,0.03670738
8000,0.09228727
10000,0.2184232
12000,0.5027381
14000,0.6342317
16000,0.7807999
18000,0.881553
20000,0.941711
22000,0.9585622
24000,0.9516541
26000,0.9499707
28000,0.9317595
30000,0.9525301
32000,0.9343707
34000,0.9103744
36000,0.9188573
38000,0.9462001
40000,0.9657249
42000,0.9624791
44000,0.9715553
46000,0.9505168
48000,0.9123361
50000,0.9395745
52000,0.9334494
54000,0.9704072
56000,0.9577625
58000,0.9521632
60000,0.944742
62000,0.9367564
64000,0.9474408
66000,0.9062036
68000,0.9394749
70000,0.968626
72000,0.9806473
74000,0.9764702
76000,0.9951718
78000,0.9972646
80000,0.9965783
82000,0.9958846
84000,0.9965699
86000,0.9952154
88000,0.9931736
90000,0.9850062
92000,0.9933981
94000,0.996545
96000,0.9792597
98000,0.9741513
100000,0.9767697
102000,0.9549139
104000,0.9713506
106000,0.9734653
108000,0.9802808
110000,0.9898604
112000,0.992522
114000,0.994519
116000,0.9932243
118000,0.9986367
120000,0.9979424
122000,0.9986449
124000,0.9931312
126000,0.9965703
128000,0.9965791
130000,0.9972479
132000,0.9952145
134000,0.9979336
136000,0.9959897
138000,0.9959013
140000,0.9972308
142000,0.9972477
144000,0.9986197
146000,0.9979837
148000,0.9993055
150000,0.9979424
152000,0.9959099
154000,0.9938657
156000,0.9925548
158000,0.9911063
160000,0.997273
162000,0.9972564
164000,0.9892776
166000,0.9966042
168000,0.9911826
170000,0.9931992
172000,0.9904958
174000,0.9952071
176000,0.9959262
178000,0.9945624
180000,0.990558
182000,0.9865986
184000,0.9886649
186000,0.9872634
188000,0.9945695
190000,0.9871397
192000,0.976598
194000,0.9825767
196000,0.9924381
198000,0.9847442
200000,0.978411
202000,0.9799911
204000,0.9866044
206000,0.9845343
208000,0.9824021
210000,0.9753613
212000,0.9872112
214000,0.9850948
216000,0.9605159
218000,0.9759498
220000,0.9845116
222000,0.993223
224000,0.9958504
226000,0.990642
228000,0.9931327
230000,0.9884479
232000,0.988422
234000,0.9858339
236000,0.9850668
238000,0.9898449
240000,0.9891776
242000,0.9853383
244000,0.9938343
246000,0.9945371
248000,0.9872475
250000,0.9806384
252000,0.9870737
254000,0.9692705
256000,0.9839128
258000,0.9931569
260000,0.9965619
262000,0.9917004
264000,0.9938518
266000,0.9945296
268000,0.9877701
270000,0.9938933
272000,0.9931738
274000,0.9865348
276000,0.9771197
278000,0.9785664
280000,0.9831224
282000,0.9845597
284000,0.9911565
286000,0.9897277
288000,0.994603
290000,0.992497
292000,0.9892268
294000,0.9958672
296000,0.9912228
298000,0.9951902
300000,0.9898193
