steps,click_accuracy
2000,0.08304793
4000,0.2433005
6000,0.3612683
8000,0.4473068
10000,0.5032061
12000,0.5594032
14000,0.6070231
16000,0.6447124
18000,0.6506698
20000,0.6566984
22000,0.7264259
24000,0.7261333
26000,0.7231848
28000,0.7707514
30000,0.771395
32000,0.8492101
34000,0.8486286
36000,0.8579012
38000,0.8421147
40000,0.8401563
42000,0.8739855
44000,0.8944997
46000,0.8986649
48000,0.891946
50000,0.8718292
52000,0.8922077
54000,0.9187341
56000,0.9116418
58000,0.8636378
60000,0.8624406
62000,0.9337651
64000,0.9202785
66000,0.9404628
68000,0.8957202
70000,0.8532398
72000,0.8967565
74000,0.8918687
76000,0.9336811
78000,0.9419492
80000,0.9165468
82000,0.9491193
84000,0.9216149
86000,0.8815688
88000,0.9243882
90000,0.9624054
92000,0.9572487
94000,0.9179976
96000,0.9450343
98000,0.943929
100000,0.9432315
102000,0.9419918
104000,0.9630862
106000,0.9630067
108000,0.9574072
110000,0.9570072
112000,0.9575107
114000,0.9405736
116000,0.9303311
118000,0.9371183
120000,0.9553107
122000,0.9469864
124000,0.9168065
126000,0.9133
128000,0.9555642
130000,0.9579097
132000,0.9612432
134000,0.9640538
136000,0.9745378
138000,0.9677727
140000,0.9668705
142000,0.956189
144000,0.9233228
146000,0.9357071
148000,0.9693124
150000,0.9516267
152000,0.9464948
154000,0.9791698
156000,0.9518659
158000,0.938338
160000,0.9077153
162000,0.894418
164000,0.9539716
166000,0.9700038
168000,0.9517934
170000,0.9348378
172000,0.916604
174000,0.9339858
176000,0.9764441
178000,0.9812186
180000,0.9514635
182000,0.9648594
184000,0.9629274
186000,0.9830999
188000,0.9719823
190000,0.9817268
192000,0.9832287
194000,0.9443862
196000,0.9203265
198000,0.9342789
200000,0.9239145
202000,0.9670068
204000,0.9235628
206000,0.9713917
208000,0.9817592
210000,0.9794127
212000,0.9712997
214000,0.9856705
216000,0.9737527
218000,0.9522884
220000,0.9693967
222000,0.9673502
224000,0.9581293
226000,0.969258
228000,0.9870423
230000,0.989245
232000,0.9712337
234000,0.954585
236000,0.9641974
238000,0.9689828
240000,0.9662442
242000,0.9573596
244000,0.9717275
246000,0.9810606
248000,0.978559
250000,0.9672948
252000,0.9555013
254000,0.9389423
256000,0.970143
258000,0.9756526
260000,0.9751883
262000,0.9777301
264000,0.9791478
266000,0.9772676
268000,0.9717937
270000,0.9797927
272000,0.9693264
274000,0.9750955
276000,0.9809761
278000,0.9844897
280000,0.9885684
282000,0.9918258
284000,0.9817379
286000,0.985009
288000,0.9864228
290000,0.9864322
292000,0.984935
294000,0.9893314
296000,0.989165
298000,0.9884557
300000,0.9878119
