steps,click_accuracy
2000,0.0100581
4000,0.01157407
6000,0.006944444
8000,0
10000,0.01851852
12000,0.01111111
14000,0.06635802
16000,0.06812169
18000,0.05555556
20000,0.0462963
22000,0.1175926
24000,0.4537037
26000,0.5529761
28000,0.8065456
30000,0.01388889
32000,0.08333334
34000,0.05555556
36000,0.1018519
38000,0
40000,0.08333334
42000,0.1203704
44000,0.1944444
46000,0.8150573
48000,0.7958554
50000,0.7356291
52000,0.4462963
54000,0.3333333
56000,0.4537037
58000,0.7205026
60000,0.7936378
62000,0.7222222
64000,0.9018278
66000,0.8937333
68000,0.8593234
70000,0.8372523
72000,0.8797517
74000,0.9415566
76000,0.9693098
78000,0.9669006
80000,0.9733673
82000,0.9914999
84000,0.9951462
86000,0.9952648
88000,0.9895825
90000,0.9966918
92000,0.9938348
94000,0.992996
96000,0.9899684
98000,0.9850949
100000,0.9733242
102000,0.9812263
104000,0.9891127
106000,0.9911229
108000,0.9917312
110000,0.9883963
112000,0.9784166
114000,0.9863445
116000,0.985914
118000,0.9904686
120000,0.9871567
122000,0.98648
124000,0.9877933
126000,0.987784
128000,0.9723542
130000,0.949679
132000,0.9811463
134000,0.9830749
136000,0.9892464
138000,0.9979755
140000,0.9965873
142000,0.9770497
144000,0.9761832
146000,0.9924853
148000,0.9891911
150000,0.9918025
152000,0.9674276
154000,0.9809206
156000,0.9831495
158000,0.9850718
160000,0.9783955
162000,0.9799373
164000,0.9877107
166000,0.9811535
168000,0.9635414
170000,0.9595107
172000,0.9617223
174000,0.9739327
176000,0.9709813
178000,0.9537446
180000,0.9574348
182000,0.9597653
184000,0.9791464
186000,0.9884307
188000,0.9911578
190000,0.9810244
192000,0.9871986
194000,0.9694293
196000,0.9509184
198000,0.9751143
200000,0.9891574
202000,0.9965789
204000,0.9986197
206000,0.9897578
208000,0.9965791
210000,0.9938845
212000,0.9993225
214000,0.9944783
216000,0.9925048
218000,0.9959266
220000,0.9965703
222000,0.9898183
224000,0.9979336
226000,0.9945681
228000,0.9959676
230000,0.9966439
232000,0.995876
234000,1
236000,0.9986449
238000,0.9986283
240000,0.9972814
242000,0.9986197
244000,0.9945546
246000,0.9979755
248000,0.997999
250000,0.9972385
252000,0.9965265
254000,0.9952304
256000,0.992513
258000,0.994544
260000,0.9931741
262000,0.9925378
264000,0.9925521
266000,0.9958751
268000,0.9878427
270000,0.9776942
272000,0.9883631
274000,0.9912062
276000,0.9818332
278000,0.9858956
280000,0.9832859
282000,0.9876937
284000,0.9877595
286000,0.9884811
288000,0.9864795
290000,0.9884473
292000,0.9911992
294000,0.9877288
296000,0.9884804
298000,0.9831234
300000,0.9845195
