steps,click_accuracy
2000,0.04296137
4000,0.3344495
6000,0.6949646
8000,0.8409585
10000,0.8834915
12000,0.8903258
14000,0.9498302
16000,0.9542566
18000,0.9134122
20000,0.8982986
22000,0.9401831
24000,0.968767
26000,0.9867139
28000,0.9845231
30000,0.9828738
32000,0.9822282
34000,0.9816562
36000,0.970091
38000,0.982825
40000,0.9810122
42000,0.9965349
44000,0.9978894
46000,0.9972975
48000,0.9978135
50000,0.9979422
52000,1
54000,0.9979338
56000,0.9986112
58000,1
60000,1
62000,0.9993225
64000,0.9993055
66000,0.998708
68000,0.9993225
70000,0.9978721
72000,0.9993306
74000,1
76000,1
78000,1
80000,1
82000,0.9993055
84000,1
86000,1
88000,1
90000,0.9986108
92000,1
94000,1
96000,1
98000,1
100000,1
102000,1
104000,1
106000,0.9993142
108000,1
110000,1
112000,0.9993142
114000,0.9993055
116000,1
118000,1
120000,1
122000,1
124000,0.9993141
126000,1
128000,1
130000,1
132000,1
134000,1
136000,1
138000,0.9993142
140000,1
142000,1
144000,1
146000,0.9993141
148000,1
150000,0.9993225
152000,0.9993055
154000,0.9993055
156000,0.9979669
158000,0.9993464
160000,0.9993055
162000,1
164000,0.9979422
166000,0.9972564
168000,0.9979755
170000,0.9979424
172000,0.9979338
174000,0.9993142
176000,1
178000,0.9992968
180000,1
182000,0.9986019
184000,0.9993141
186000,0.9993142
188000,1
190000,0.9985933
192000,1
194000,1
196000,0.9965856
198000,0.9986367
200000,0.9993142
202000,0.9993225
204000,0.9958844
206000,0.9959013
208000,0.9952073
210000,0.995239
212000,0.9878957
214000,0.9878909
216000,0.9931813
218000,0.9959015
220000,0.9958837
222000,0.9890997
224000,0.9931488
226000,0.9939647
228000,0.992562
230000,0.997273
232000,0.9952154
234000,0.9952068
236000,0.9972394
238000,0.9965616
240000,0.9986367
242000,0.9986367
244000,0.9958582
246000,0.9972479
248000,0.9986197
250000,0.9958931
252000,0.9938918
254000,0.9931322
256000,0.9958837
258000,0.9959897
260000,0.9965188
262000,0.9972646
264000,0.9925629
266000,0.9925533
268000,0.9951981
270000,0.9912379
272000,0.9910977
274000,0.9905366
276000,0.9925464
278000,0.9931738
280000,0.9918355
282000,0.9973127
284000,0.9972816
286000,0.9952238
288000,0.9952652
290000,0.9992968
292000,0.9959172
294000,0.9986449
296000,0.9979422
298000,0.995926
300000,0.9958757
