steps,click_accuracy
2000,0.06052662
4000,0.3483521
6000,0.6292628
8000,0.8193817
10000,0.9098436
12000,0.9146972
14000,0.9004977
16000,0.9225746
18000,0.9330586
20000,0.9515793
22000,0.9417583
24000,0.936547
26000,0.945637
28000,0.9639986
30000,0.9794102
32000,0.9809037
34000,0.9798698
36000,0.9703741
38000,0.9703321
40000,0.9770731
42000,0.9903063
44000,0.9938581
46000,0.989617
48000,0.9937043
50000,0.9925532
52000,0.9816306
54000,0.9837833
56000,0.9786413
58000,0.976568
60000,0.9811106
62000,0.9905196
64000,0.9910134
66000,0.9858652
68000,0.9820043
70000,0.9702097
72000,0.977817
74000,0.9835901
76000,0.9825893
78000,0.9752121
80000,0.9742173
82000,0.9853362
84000,0.9882871
86000,0.9832375
88000,0.9939173
90000,0.9890233
92000,0.9819645
94000,0.9636481
96000,0.9672263
98000,0.9659103
100000,0.9877059
102000,0.9739875
104000,0.9780378
106000,0.9830957
108000,0.9812978
110000,0.9852006
112000,0.9826051
114000,0.9966441
116000,0.9938255
118000,0.987901
120000,0.9910651
122000,0.9850795
124000,0.9924601
126000,0.9911626
128000,0.9979673
130000,0.9938243
132000,0.9986283
134000,0.9992968
136000,0.9958492
138000,0.9972478
140000,0.9945619
142000,0.9919421
144000,0.995138
146000,0.9880214
148000,0.9986283
150000,0.996587
152000,0.9979079
154000,0.9979252
156000,0.995959
158000,0.9924619
160000,0.9965619
162000,0.997273
164000,0.9918605
166000,0.9951982
168000,0.9945462
170000,0.9932624
172000,0.9945033
174000,0.9965533
176000,0.9945112
178000,0.991882
180000,0.9830716
182000,0.9851088
184000,0.9911906
186000,0.9945619
188000,0.9952147
190000,0.9917752
192000,0.9905537
194000,0.9951899
196000,0.9972725
198000,0.9965179
200000,0.9972478
202000,0.9972552
204000,0.9979165
206000,0.9979507
208000,0.9973138
210000,0.9986367
212000,0.9986365
214000,0.9986282
216000,0.9993141
218000,0.9965527
220000,0.9972646
222000,0.9972394
224000,0.9986283
226000,0.997959
228000,0.9972641
230000,0.9946181
232000,0.9986367
234000,0.9952145
236000,0.9959093
238000,0.9986367
240000,0.9945714
242000,0.9986193
244000,0.9972301
246000,0.9979508
248000,0.9986109
250000,0.996677
252000,0.9993055
254000,0.9986282
256000,0.9986367
258000,0.9986282
260000,0.9993225
262000,0.9979838
264000,0.9993225
266000,0.9918172
268000,0.9958839
270000,0.9986282
272000,0.9966041
274000,0.9986447
276000,0.9979334
278000,0.9925053
280000,0.995859
282000,0.9966441
284000,0.9952153
286000,0.9972394
288000,0.997992
290000,1
292000,0.9972392
294000,0.9993142
296000,0.9986197
298000,0.9972564
300000,0.9973385
