steps,click_accuracy
2000,0.01315027
4000,0.05553443
6000,0.1728683
8000,0.1419385
10000,0.1564715
12000,0.2712422
14000,0.2558201
16000,0.1333774
18000,0.419709
20000,0.5149471
22000,0.5824082
24000,0.7493702
26000,0.8535263
28000,0.8424402
30000,0.8842574
32000,0.9290578
34000,0.9484896
36000,0.9410272
38000,0.963489
40000,0.9736956
42000,0.9812382
44000,0.9540982
46000,0.9595346
48000,0.9897348
50000,0.9925034
52000,0.9966205
54000,0.9972394
56000,0.9945033
58000,0.9945714
60000,0.9952233
62000,0.998628
64000,0.9918016
66000,0.9931397
68000,0.9911626
70000,0.991115
72000,0.9865096
74000,0.9798996
76000,0.9892241
78000,0.9897101
80000,0.9838077
82000,0.9783551
84000,0.9891551
86000,0.9898663
88000,0.9898571
90000,0.9877098
92000,0.986618
94000,0.9691203
96000,0.9609386
98000,0.9701805
100000,0.9856769
102000,0.973291
104000,0.9805233
106000,0.9858626
108000,0.9952554
110000,0.9972562
112000,0.9911397
114000,0.990545
116000,0.9811771
118000,0.9865093
120000,0.9911416
122000,0.9924877
124000,0.9959264
126000,0.9945863
128000,0.9993141
130000,0.9993141
132000,1
134000,1
136000,1
138000,1
140000,1
142000,0.9993225
144000,1
146000,1
148000,1
150000,1
152000,1
154000,1
156000,0.9993142
158000,1
160000,1
162000,1
164000,1
166000,1
168000,0.9993055
170000,1
172000,0.9993055
174000,0.9993308
176000,0.9993225
178000,1
180000,1
182000,1
184000,0.9993225
186000,0.9993225
188000,1
190000,0.9986283
192000,0.9993225
194000,0.9986108
196000,1
198000,0.9979339
200000,0.9972649
202000,0.9986112
204000,0.9979756
206000,0.9958928
208000,0.9883723
210000,0.9877623
212000,0.981057
214000,0.9892146
216000,0.9965958
218000,0.9932241
220000,0.980622
222000,0.991794
224000,0.9979587
226000,0.9973138
228000,0.9979422
230000,0.9965617
232000,0.9986197
234000,0.9966106
236000,0.9986449
238000,1
240000,0.9979755
242000,1
244000,1
246000,0.9986197
248000,0.9986197
250000,0.9986281
252000,0.996536
254000,0.9965872
256000,0.9945211
258000,0.9972564
260000,0.9958326
262000,0.995909
264000,0.9972649
266000,0.9986281
268000,0.9972649
270000,0.9972646
272000,0.9992968
274000,0.9965617
276000,0.9993141
278000,0.9972392
280000,0.9952062
282000,0.996536
284000,1
286000,0.9972646
288000,0.9972479
290000,0.9986367
292000,0.9965615
294000,0.9979252
296000,0.9979997
298000,0.9986367
300000,0.9979506
