steps,click_accuracy
2000,0.06569106
4000,0.1629503
6000,0.2428983
8000,0.2824173
10000,0.3202607
12000,0.355432
14000,0.3902276
16000,0.4110372
18000,0.4642013
20000,0.4877553
22000,0.5168411
24000,0.5672636
26000,0.582157
28000,0.6157362
30000,0.6455184
32000,0.6833778
34000,0.719597
36000,0.7165682
38000,0.7130673
40000,0.7562597
42000,0.756259
44000,0.7917903
46000,0.8240678
48000,0.8389124
50000,0.8109224
52000,0.8131996
54000,0.8505438
56000,0.8692592
58000,0.8751061
60000,0.8457915
62000,0.8945464
64000,0.8959976
66000,0.8745074
68000,0.8960073
70000,0.8607228
72000,0.8210583
74000,0.808902
76000,0.9218089
78000,0.930865
80000,0.8996405
82000,0.9378831
84000,0.9239524
86000,0.9228587
88000,0.9279692
90000,0.9292991
92000,0.8851764
94000,0.8921223
96000,0.8935392
98000,0.9379973
100000,0.9735332
102000,0.9563217
104000,0.935491
106000,0.9168929
108000,0.9401243
110000,0.9476437
112000,0.9666764
114000,0.961064
116000,0.9335899
118000,0.9100677
120000,0.9352016
122000,0.9222659
124000,0.9535788
126000,0.972178
128000,0.948265
130000,0.9624977
132000,0.9508125
134000,0.9580375
136000,0.9811252
138000,0.9743823
140000,0.9634228
142000,0.9404449
144000,0.9593748
146000,0.9695624
148000,0.9670015
150000,0.9491132
152000,0.9776542
154000,0.9681203
156000,0.9501765
158000,0.9309244
160000,0.9421104
162000,0.9505864
164000,0.9502998
166000,0.9637399
168000,0.9449394
170000,0.9574229
172000,0.9586802
174000,0.9778772
176000,0.9700482
178000,0.9650663
180000,0.973055
182000,0.9791214
184000,0.9714162
186000,0.9844462
188000,0.9932237
190000,0.9918584
192000,0.9837674
194000,0.9864036
196000,0.9877192
198000,0.978431
200000,0.9872773
202000,0.9904305
204000,0.9830652
206000,0.965648
208000,0.9590916
210000,0.9538661
212000,0.956365
214000,0.961798
216000,0.9673778
218000,0.9567432
220000,0.9837036
222000,0.987761
224000,0.997281
226000,0.9878013
228000,0.9850762
230000,0.9877525
232000,0.9911733
234000,0.9810998
236000,0.9777305
238000,0.9811129
240000,0.9844455
242000,0.979064
244000,0.9630653
246000,0.9758955
248000,0.9629058
250000,0.9885058
252000,0.9952488
254000,0.9898112
256000,0.98991
258000,0.9850679
260000,0.9792687
262000,0.9864552
264000,0.9803889
266000,0.9804047
268000,0.9732502
270000,0.9771863
272000,0.983862
274000,0.9851081
276000,0.9846378
278000,0.987139
280000,0.9838232
282000,0.9824868
284000,0.9878032
286000,0.9804381
288000,0.9758144
290000,0.9707723
292000,0.9589571
294000,0.9644976
296000,0.965509
298000,0.970658
300000,0.9753948
